,match,team,time,player,desc
21112,8236,h,90+2',Lucas Halter,Cartão vermelho
21113,8237,a,2',Marlon Freitas,Gol-contra
21114,8237,h,19',Victor Sá,Gol
21115,8237,a,73',Bruno Henrique,Gol
21116,8238,h,30',Luis Suárez,Gol
21117,8238,h,63',Rikelme,Gol-contra
21118,8239,h,90+2',Diogo Barbosa,Gol
21119,8240,a,90+2',Murilo,Segundo cartão amarelo
21120,8240,h,90+6',Maycon,Cartão vermelho
21121,8241,h,45',Ademir,Gol
21122,8241,a,63',Pablo Vegetti,Gol de pênalti
21123,8241,a,90+4',Jair,Cartão vermelho
21124,8243,h,29',Rodrigo Varanda,Gol
21125,8243,h,55',Juninho,Gol
21126,8243,a,90+4',Yeferson Soteldo,Cartão vermelho
21127,8244,h,30',Alan Franco,Gol
21128,8244,a,45+6',Islam Slimani,Gol
21129,8244,h,45+13',Luciano,Gol de pênalti
21130,8245,a,45+4',Jonathan Calleri,Gol de pênalti
21131,8245,h,59',Fabricio Bustos,Gol
21132,8245,h,70',Renê,Gol
21133,8246,a,27',Cacá,Gol
21134,8246,h,67',Gabriel Barbosa,Cartão vermelho
21135,8246,a,84',Alex Santana,Gol
21136,8246,a,90+7',Vitor Bueno,Gol de pênalti
21137,8247,a,41',Matheus Jussa,Gol
21138,8247,a,70',Bruno Rodrigues,Gol
21139,8247,a,89',Nikão,Gol
21140,8248,h,26',Juan Martín Lucero,Gol
21141,8248,a,33',Pedro,Gol
21142,8248,h,76',Marinho,Pênalti perdido
21143,8248,h,90+4',Pikachu,Gol
21144,8249,h,2',Sebastián Gómez,Gol
21145,8249,a,11',Rafael Ratão,Gol
21146,8249,a,30',Thaciano,Gol
21147,8249,a,34',Ademir,Gol
21148,8249,a,74',Biel,Gol
21149,8249,h,90+4',Andrey,Gol
21150,8250,h,20',João Pedro,Gol-contra
21151,8250,h,45+1',Vitinho,Gol
21152,8251,a,11',Rodriguinho,Gol
21153,8251,a,32',Felipe Azevedo,Gol
21154,8251,h,35',Deyverson,Gol de pênalti
21155,8251,h,41',Wellington Silva,Gol
21156,8251,a,77',Danilo Avelar,Cartão vermelho
21157,8252,a,75',Raphael Guzzo,Segundo cartão amarelo
21158,8252,h,90+6',Breno Lopes,Gol
21159,8253,h,23',Praxedes,Gol
21160,8253,a,46',Marcelo,Gol
21161,8253,h,50',Pablo Vegetti,Gol
21162,8253,a,56',Lima,Gol
21163,8253,h,74',Gabriel Pec,Gol
21164,8253,h,85',Gabriel Pec,Gol
21165,8254,h,81',Paulinho,Gol
21166,8255,h,59',Camilo Cándido,Gol
21167,8255,a,73',Marcos Leonardo,Gol
21168,8255,a,90+4',Julio Furch,Gol
21169,8256,a,36',Jadsom,Gol
21170,8256,h,90+4',Gonzalo Mastriani,Pênalti perdido
21171,8256,a,90+10',Lucas Evangelista,Gol
21172,8258,h,67',Leonardo Fernández,Gol
21173,8259,a,16',Zé Welison,Gol
21174,8259,h,21',James Rodríguez,Pênalti perdido
21175,8259,a,53',Juan Martín Lucero,Gol de pênalti
21176,8259,h,79',James Rodríguez,Gol
21177,8260,h,8',Zé Gabriel,Gol
21178,8260,h,34',Rossi,Gol
21179,8260,h,50',Pablo Vegetti,Gol
21180,8260,h,63',Pablo Vegetti,Gol
21181,8260,a,80',Sebastián Gómez,Gol
21182,8260,h,81',Gabriel Pec,Gol
21183,8261,h,24',Erick,Gol
21184,8261,a,36',Carlos de Pena,Gol
21185,8261,h,90',Alex Santana,Gol
21186,8262,h,9',João Pedro,Gol
21187,8262,h,85',Mathías Villasanti,Segundo cartão amarelo
21188,8263,a,23',Marçal,Cartão vermelho
21189,8263,h,59',Gil,Gol
21190,8264,h,42',Paulinho,Gol
21191,8265,a,49',Kanu,Cartão vermelho
21192,8265,h,61',Pedro,Gol de pênalti
21193,8266,h,44',Thiago Galhardo,Gol de pênalti
21194,8266,a,45+5',Franco Cristaldo,Pênalti perdido
21195,8266,a,80',Luis Suárez,Gol
21196,8267,a,40',Martinelli,Segundo cartão amarelo
21197,8267,h,57',Clayson,Gol
21198,8267,h,64',Alan Empereur,Gol
21199,8267,h,87',Fernando Sobral,Gol
21200,8268,a,3',Ángel Romero,Gol
21201,8268,h,40',Jonathan Calleri,Gol
21202,8268,h,45+2',Jonathan Calleri,Gol
21203,8269,a,73',Hulk,Gol
21204,8269,a,81',Igor Gomes,Gol
21205,8269,h,90+9',Hugo Mallo,Cartão vermelho
21206,8270,h,15',Marcos Leonardo,Gol de pênalti
21207,8270,a,31',Pablo Vegetti,Gol
21208,8270,h,45+1',Tomás Rincón,Gol
21209,8270,h,45+3',Marcos Leonardo,Gol
21210,8270,h,60',Lucas Lima,Cartão vermelho
21211,8270,a,60',Gary Medel,Cartão vermelho
21212,8270,h,61',Rodrigo Fernández,Cartão vermelho
21213,8270,h,75',Yeferson Soteldo,Gol
21214,8271,h,14',Victor Luís,Gol
21215,8271,h,45+3',Islam Slimani,Gol
21216,8272,h,21',Luciano Castán,Gol
21217,8272,a,28',Martín Benítez,Gol
21218,8272,h,90+4',Fernando Henrique,Cartão vermelho
21219,8273,a,15',Endrick,Gol
21220,8273,h,61',Eduardo Sasha,Gol de pênalti
21221,8273,h,90',Eric Ramires,Gol
21222,8274,a,27',Lucas Halter,Gol
21223,8274,h,52',Tiquinho Soares,Gol
21224,8275,a,15',Everaldo,Gol
21225,8275,a,18',Gilberto,Gol
21226,8275,h,27',Guilherme,Gol
21227,8275,a,37',Everaldo,Gol
21228,8275,h,45+2',Guilherme,Gol de pênalti
21229,8275,h,45+6',Matheus Babi,Gol
21230,8275,h,50',João Magno,Gol
21231,8275,a,53',Everaldo,Gol
21232,8275,a,56',Rafael Ratão,Gol
21233,8275,a,90+5',Biel,Gol
21234,8276,a,45+1',Wellington Rato,Pênalti perdido
21235,8277,a,54',Gerson,Gol
21236,8277,h,79',Fábio Santos,Gol de pênalti
21237,8278,h,6',Enner Valencia,Gol
21238,8278,h,49',Wanderson,Gol
21239,8278,a,67',João Pedro,Gol
21240,8278,h,70',Alan Patrick,Gol
21241,8278,a,74',Luis Suárez,Gol
21242,8279,a,20',Júnior Santos,Gol
21243,8279,a,22',Tiquinho Soares,Gol
21244,8280,h,43',Zé Rafael,Gol
21245,8280,a,45+1',Tomás Rincón,Gol
21246,8280,a,70',Marcos Leonardo,Gol
21247,8281,a,34',Eric Ramires,Gol
21248,8281,h,40',Pablo,Gol
21249,8282,a,18',Gonzalo Mastriani,Gol de pênalti
21250,8282,a,23',Gonzalo Mastriani,Gol
21251,8282,h,31',Juan Martín Lucero,Gol
21252,8282,h,56',Imanol Machuca,Gol
21253,8282,h,68',Bruno Pacheco,Gol
21254,8283,h,59',Hulk,Gol
21255,8283,a,64',Matheus Bianqui,Gol
21256,8283,a,90+1',Islam Slimani,Gol
21257,8285,h,7',Lucas Besozzi,Gol
21258,8285,a,38',Bruno Zapelli,Gol
21259,8285,a,90+4',Kaique Rocha,Gol
21260,8285,h,90+7',Reinaldo,Cartão vermelho
21261,8286,a,24',Deyverson,Gol
